profile,actor,DPS,int,haste,crit,mastery,vers,dpsW,
composite,SWV_ToF_AS_MB_LotV,24041,1.00,1.50,1.55,1.13,1.19,0.44,
composite,SWV_ToF_SWD_LI_DA,24040,1.00,1.54,1.39,1.18,1.20,0.44,
composite,SWV_ToF_SWD_LI_LotV,24020,1.00,1.56,1.42,1.19,1.22,0.45,
composite,SWV_ToF_SC_MB_STM,24014,1.00,1.49,1.38,1.11,1.20,0.45,
composite,SWV_DV_SC_MB_LotV,24006,1.00,1.45,1.38,1.08,1.19,0.44,
composite,FotM_ToF_SC_MB_STM,24004,1.00,1.49,1.38,1.11,1.21,0.45,
composite,FotM_ToF_SWD_LI_STM,23977,1.00,1.59,1.38,1.18,1.20,0.44,
composite,SWV_ToF_SC_VT_DA,23972,1.00,1.44,1.39,1.10,1.21,0.45,
composite,FotM_ToF_AS_MB_LotV,23960,1.00,1.52,1.55,1.13,1.19,0.44,
composite,FotM_DV_AS_VT_DA,23942,1.00,1.51,1.55,1.09,1.22,0.45,
composite,SWV_DV_SC_VT_LotV,23933,1.00,1.46,1.42,1.07,1.21,0.45,
composite,FotM_ToF_SWD_LI_LotV,23924,1.00,1.60,1.42,1.18,1.21,0.45,
composite,FotM_DV_AS_LI_STM,23917,1.00,1.63,1.54,1.17,1.22,0.45,
composite,FotM_DV_SC_MB_LotV,23912,1.00,1.50,1.42,1.10,1.20,0.45,
composite,SWV_ToF_SWD_LI_STM,23891,1.00,1.51,1.38,1.17,1.19,0.44,
composite,SWV_DV_SC_LI_LotV,23879,1.00,1.57,1.41,1.14,1.21,0.45,
composite,FotM_Mis_AS_LI_DA,23859,1.00,1.59,1.55,1.20,1.21,0.45,
composite,FotM_ToF_SWD_VT_LotV,23853,1.00,1.54,1.42,1.11,1.22,0.45,
composite,FotM_ToF_AS_MB_DA,23850,1.00,1.50,1.53,1.13,1.21,0.45,
composite,SWV_Mis_SC_MB_LotV,23840,1.00,1.46,1.41,1.13,1.20,0.45,
composite,FotM_ToF_SC_VT_DA,23839,1.00,1.49,1.39,1.09,1.20,0.45,
composite,SI_ToF_SC_MB_LotV,23835,1.00,1.51,1.41,1.12,1.20,0.45,
composite,SWV_DV_SWD_MB_LotV,23834,1.00,1.50,1.41,1.10,1.21,0.45,
composite,SWV_DV_SC_MB_DA,23829,1.00,1.39,1.39,1.09,1.21,0.45,
composite,SWV_Mis_AS_VT_LotV,23819,1.00,1.53,1.56,1.11,1.22,0.45,
composite,SWV_ToF_SWD_VT_DA,23806,1.00,1.47,1.41,1.11,1.21,0.46,
composite,FotM_ToF_AS_VT_STM,23805,1.00,1.47,1.55,1.11,1.22,0.45,
composite,FotM_DV_SC_LI_LotV,23796,1.00,1.60,1.41,1.14,1.20,0.45,
composite,SI_ToF_AS_VT_LotV,23793,1.00,1.58,1.59,1.12,1.22,0.45,
composite,SI_ToF_AS_LI_DA,23791,1.00,1.63,1.58,1.18,1.20,0.44,
composite,SWV_ToF_AS_MB_DA,23790,1.00,1.51,1.55,1.15,1.22,0.45,
composite,SWV_ToF_AS_VT_STM,23779,1.00,1.42,1.54,1.12,1.21,0.45,
composite,SWV_Mis_AS_LI_DA,23777,1.00,1.58,1.55,1.20,1.21,0.45,
composite,SWV_DV_AS_LI_STM,23768,1.00,1.62,1.55,1.18,1.22,0.46,
composite,FotM_DV_SC_VT_LotV,23763,1.00,1.44,1.41,1.07,1.22,0.46,
composite,FotM_DV_SC_MB_DA,23762,1.00,1.42,1.40,1.09,1.21,0.45,
composite,FotM_DV_SWD_MB_LotV,23757,1.00,1.54,1.43,1.12,1.22,0.46,
composite,SWV_DV_SWD_VT_LotV,23756,1.00,1.50,1.40,1.08,1.21,0.45,
composite,SWV_DV_SC_LI_DA,23750,1.00,1.48,1.40,1.15,1.21,0.45,
composite,FotM_ToF_SWD_VT_DA,23746,1.00,1.53,1.41,1.11,1.21,0.45,
composite,FotM_Mis_SC_MB_LotV,23742,1.00,1.48,1.40,1.13,1.21,0.45,
composite,FotM_Mis_AS_LI_STM,23732,1.00,1.67,1.54,1.18,1.21,0.45,
composite,FotM_Mis_AS_VT_LotV,23723,1.00,1.52,1.56,1.11,1.21,0.45,
composite,FotM_DV_SC_LI_DA,23712,1.00,1.53,1.41,1.16,1.20,0.46,
composite,SWV_DV_SC_VT_DA,23705,1.00,1.42,1.39,1.08,1.21,0.46,
composite,SWV_ToF_SWD_MB_LotV,23704,1.00,1.48,1.41,1.13,1.20,0.45,
composite,FotM_Mis_AS_LI_LotV,23702,1.00,1.61,1.59,1.19,1.21,0.45,
composite,SI_ToF_SC_MB_DA,23697,1.00,1.46,1.43,1.14,1.21,0.46,
composite,SWV_Mis_SWD_MB_LotV,23683,1.00,1.47,1.40,1.13,1.20,0.45,
composite,SWV_Mis_AS_LI_LotV,23682,1.00,1.58,1.58,1.20,1.20,0.45,
composite,SWV_DV_SWD_LI_LotV,23674,1.00,1.61,1.40,1.15,1.21,0.45,
composite,SI_DV_AS_VT_LotV,23665,1.00,1.50,1.57,1.09,1.22,0.46,
composite,SWV_Mis_AS_VT_DA,23664,1.00,1.47,1.57,1.15,1.22,0.47,
composite,SI_ToF_AS_VT_DA,23651,1.00,1.52,1.59,1.12,1.22,0.46,
composite,SWV_DV_SWD_MB_DA,23635,1.00,1.41,1.40,1.10,1.21,0.45,
composite,SWV_Mis_SC_MB_DA,23629,1.00,1.43,1.40,1.12,1.20,0.46,
composite,SWV_Mis_AS_LI_STM,23628,1.00,1.52,1.54,1.19,1.21,0.45,
composite,FotM_Mis_SC_MB_DA,23625,1.00,1.44,1.40,1.12,1.21,0.46,
composite,FotM_DV_SWD_LI_LotV,23621,1.00,1.61,1.41,1.16,1.20,0.45,
composite,FotM_ToF_AS_MB_STM,23621,1.00,1.51,1.51,1.13,1.20,0.45,
composite,SI_ToF_AS_LI_LotV,23618,1.00,1.64,1.62,1.20,1.21,0.45,
composite,FotM_Mis_AS_VT_DA,23607,1.00,1.46,1.54,1.11,1.20,0.46,
composite,FotM_DV_SWD_VT_LotV,23605,1.00,1.47,1.39,1.06,1.20,0.45,
composite,FotM_DV_SWD_MB_DA,23604,1.00,1.42,1.42,1.12,1.22,0.46,
composite,SWV_DV_SC_LI_STM,23603,1.00,1.53,1.38,1.13,1.20,0.45,
composite,FotM_ToF_SWD_MB_LotV,23576,1.00,1.48,1.40,1.13,1.20,0.44,
composite,SWV_Mis_SC_VT_LotV,23576,1.00,1.46,1.39,1.08,1.20,0.45,
composite,FotM_DV_SC_LI_STM,23570,1.00,1.59,1.39,1.15,1.22,0.46,
composite,SWV_DV_SWD_LI_DA,23569,1.00,1.46,1.38,1.13,1.19,0.45,
composite,SI_ToF_AS_LI_STM,23563,1.00,1.66,1.57,1.20,1.21,0.45,
composite,FotM_DV_SWD_LI_DA,23557,1.00,1.50,1.40,1.14,1.20,0.45,
composite,SI_ToF_SC_VT_LotV,23543,1.00,1.50,1.42,1.09,1.22,0.46,
composite,SWV_Mis_SC_LI_LotV,23537,1.00,1.53,1.40,1.17,1.20,0.45,
composite,SWV_DV_SWD_VT_DA,23531,1.00,1.48,1.41,1.09,1.23,0.46,
composite,SWV_DV_AS_MB_LotV,23531,1.00,1.57,1.57,1.12,1.21,0.46,
composite,FotM_DV_SC_VT_DA,23518,1.00,1.44,1.41,1.07,1.22,0.46,
composite,FotM_DV_AS_MB_LotV,23509,1.00,1.58,1.57,1.12,1.23,0.46,
composite,SI_ToF_SC_LI_DA,23505,1.00,1.55,1.40,1.16,1.20,0.45,
composite,FotM_Mis_SC_LI_DA,23493,1.00,1.56,1.38,1.16,1.20,0.45,
composite,FotM_Mis_SC_LI_STM,23490,1.00,1.52,1.39,1.18,1.21,0.46,
composite,SWV_Mis_SC_LI_DA,23483,1.00,1.53,1.39,1.17,1.20,0.45,
composite,SWV_ToF_AS_MB_STM,23481,1.00,1.50,1.52,1.14,1.20,0.45,
composite,SWV_ToF_SC_VT_STM,23480,1.00,1.41,1.39,1.10,1.21,0.46,
composite,FotM_DV_SC_MB_STM,23479,1.00,1.51,1.39,1.10,1.22,0.46,
composite,FotM_ToF_SWD_MB_DA,23463,1.00,1.48,1.40,1.13,1.21,0.46,
composite,FotM_Mis_SC_LI_LotV,23457,1.00,1.54,1.39,1.17,1.19,0.45,
composite,SWV_Mis_SWD_MB_DA,23452,1.00,1.43,1.38,1.12,1.19,0.45,
composite,SWV_DV_SC_MB_STM,23448,1.00,1.49,1.38,1.08,1.22,0.46,
composite,SI_DV_AS_VT_DA,23447,1.00,1.52,1.56,1.08,1.21,0.46,
composite,SWV_ToF_SWD_MB_DA,23445,1.00,1.45,1.39,1.11,1.21,0.46,
composite,SI_DV_AS_LI_LotV,23438,1.00,1.70,1.61,1.16,1.22,0.46,
composite,FotM_ToF_SC_VT_STM,23433,1.00,1.42,1.40,1.09,1.22,0.46,
composite,SI_DV_SC_MB_LotV,23432,1.00,1.53,1.44,1.10,1.22,0.47,
composite,SWV_Mis_SC_MB_STM,23431,1.00,1.47,1.40,1.12,1.21,0.46,
composite,SI_ToF_SC_LI_LotV,23428,1.00,1.57,1.41,1.17,1.20,0.46,
composite,FotM_Mis_SC_VT_LotV,23421,1.00,1.46,1.41,1.08,1.21,0.46,
composite,SI_DV_AS_LI_DA,23406,1.00,1.55,1.58,1.16,1.22,0.46,
composite,FotM_Mis_SC_MB_STM,23405,1.00,1.44,1.38,1.12,1.21,0.46,
composite,SI_ToF_SC_MB_STM,23401,1.00,1.47,1.41,1.12,1.21,0.46,
composite,SI_ToF_SC_LI_STM,23399,1.00,1.52,1.39,1.16,1.21,0.45,
composite,FotM_DV_SWD_LI_STM,23388,1.00,1.58,1.37,1.15,1.19,0.45,
composite,FotM_DV_SWD_VT_DA,23380,1.00,1.50,1.40,1.08,1.21,0.46,
composite,SWV_Mis_AS_MB_LotV,23363,1.00,1.49,1.54,1.14,1.21,0.46,
composite,FotM_DV_AS_MB_DA,23356,1.00,1.45,1.54,1.11,1.22,0.46,
composite,SWV_Mis_SWD_VT_LotV,23354,1.00,1.51,1.41,1.10,1.21,0.46,
composite,FotM_Mis_SWD_LI_DA,23352,1.00,1.54,1.39,1.18,1.20,0.46,
composite,SWV_ToF_SWD_VT_STM,23352,1.00,1.40,1.40,1.11,1.20,0.46,
composite,SI_ToF_AS_MB_LotV,23351,1.00,1.54,1.57,1.14,1.21,0.46,
composite,SWV_DV_AS_MB_DA,23340,1.00,1.45,1.54,1.13,1.22,0.46,
composite,SWV_Mis_SC_LI_STM,23336,1.00,1.47,1.38,1.17,1.21,0.46,
composite,SI_DV_SC_VT_LotV,23334,1.00,1.45,1.40,1.06,1.22,0.46,
composite,FotM_ToF_SWD_VT_STM,23333,1.00,1.46,1.41,1.10,1.22,0.46,
composite,FotM_Mis_AS_MB_LotV,23330,1.00,1.51,1.54,1.13,1.21,0.45,
composite,SI_ToF_SWD_VT_LotV,23321,1.00,1.54,1.42,1.10,1.21,0.46,
composite,SI_DV_SC_MB_DA,23313,1.00,1.43,1.42,1.09,1.21,0.47,
composite,SI_ToF_SWD_LI_DA,23310,1.00,1.58,1.40,1.16,1.21,0.46,
composite,SWV_Mis_SWD_LI_DA,23310,1.00,1.52,1.39,1.18,1.20,0.45,
composite,SWV_Mis_SC_VT_DA,23304,1.00,1.44,1.38,1.09,1.20,0.46,
composite,FotM_DV_AS_VT_STM,23295,1.00,1.46,1.53,1.07,1.21,0.46,
composite,FotM_DV_SWD_MB_STM,23293,1.00,1.52,1.39,1.11,1.21,0.46,
composite,SWV_DV_SWD_LI_STM,23282,1.00,1.53,1.39,1.15,1.20,0.46,
composite,SWV_Mis_SWD_LI_LotV,23282,1.00,1.51,1.41,1.19,1.20,0.46,
composite,SI_ToF_SC_VT_DA,23279,1.00,1.50,1.41,1.10,1.21,0.47,
composite,SWV_DV_AS_VT_STM,23277,1.00,1.48,1.56,1.11,1.23,0.47,
composite,SWV_DV_SWD_MB_STM,23269,1.00,1.48,1.39,1.11,1.22,0.46,
composite,SI_DV_SWD_MB_LotV,23262,1.00,1.51,1.43,1.10,1.22,0.46,
composite,FotM_Mis_SWD_LI_LotV,23243,1.00,1.56,1.40,1.18,1.20,0.46,
composite,FotM_Mis_SWD_LI_STM,23242,1.00,1.62,1.37,1.18,1.21,0.46,
composite,FotM_Mis_SWD_VT_LotV,23240,1.00,1.48,1.41,1.10,1.21,0.46,
composite,FotM_Mis_SC_VT_DA,23237,1.00,1.44,1.37,1.08,1.20,0.46,
composite,SI_ToF_AS_MB_DA,23235,1.00,1.49,1.55,1.13,1.20,0.46,
composite,FotM_ToF_SWD_MB_STM,23219,1.00,1.47,1.37,1.12,1.20,0.46,
composite,SI_Mis_SC_MB_LotV,23216,1.00,1.48,1.42,1.12,1.20,0.47,
composite,SWV_Mis_SWD_MB_STM,23215,1.00,1.43,1.40,1.13,1.22,0.47,
composite,FotM_Mis_AS_MB_DA,23211,1.00,1.50,1.53,1.15,1.21,0.46,
composite,SWV_Mis_SWD_LI_STM,23203,1.00,1.48,1.39,1.20,1.22,0.46,
composite,FotM_Mis_AS_VT_STM,23197,1.00,1.48,1.55,1.12,1.22,0.47,
composite,SI_ToF_SWD_LI_LotV,23190,1.00,1.60,1.43,1.17,1.20,0.46,
composite,SI_Mis_AS_VT_LotV,23171,1.00,1.51,1.57,1.11,1.21,0.46,
composite,SI_DV_SWD_VT_LotV,23168,1.00,1.50,1.43,1.07,1.22,0.47,
composite,SWV_Mis_SWD_VT_DA,23165,1.00,1.44,1.40,1.12,1.21,0.47,
composite,SWV_Mis_AS_VT_STM,23159,1.00,1.44,1.54,1.12,1.22,0.47,
composite,SI_DV_AS_LI_STM,23148,1.00,1.65,1.56,1.16,1.20,0.46,
composite,SI_DV_SC_LI_LotV,23146,1.00,1.62,1.42,1.16,1.21,0.46,
composite,SWV_Mis_AS_MB_DA,23145,1.00,1.49,1.54,1.14,1.21,0.46,
composite,SI_ToF_SWD_VT_DA,23141,1.00,1.49,1.42,1.11,1.21,0.46,
composite,SWV_ToF_SWD_MB_STM,23139,1.00,1.46,1.38,1.13,1.21,0.46,
composite,SI_DV_SC_LI_DA,23139,1.00,1.49,1.41,1.15,1.20,0.46,
composite,SI_DV_SWD_MB_DA,23126,1.00,1.42,1.42,1.11,1.20,0.46,
composite,SI_ToF_AS_VT_STM,23120,1.00,1.48,1.56,1.10,1.22,0.47,
composite,SI_Mis_AS_LI_DA,23109,1.00,1.61,1.58,1.19,1.21,0.46,
composite,SI_ToF_SWD_LI_STM,23107,1.00,1.66,1.39,1.18,1.20,0.46,
composite,FotM_Mis_SWD_VT_DA,23096,1.00,1.43,1.40,1.11,1.21,0.46,
composite,SI_Mis_SC_MB_DA,23092,1.00,1.43,1.41,1.12,1.21,0.47,
composite,FotM_Mis_AS_MB_STM,23060,1.00,1.48,1.50,1.12,1.20,0.46,
composite,SI_DV_SC_VT_DA,23054,1.00,1.46,1.40,1.07,1.21,0.46,
composite,FotM_DV_AS_MB_STM,23054,1.00,1.58,1.52,1.11,1.20,0.46,
composite,SI_Mis_SWD_MB_LotV,23036,1.00,1.50,1.43,1.13,1.21,0.47,
composite,SWV_DV_SC_VT_STM,23031,1.00,1.44,1.38,1.06,1.21,0.47,
composite,SI_Mis_AS_VT_DA,23010,1.00,1.48,1.57,1.11,1.21,0.47,
composite,SI_ToF_SWD_MB_LotV,23009,1.00,1.51,1.42,1.13,1.21,0.46,
composite,SWV_DV_AS_MB_STM,22979,1.00,1.53,1.53,1.12,1.22,0.47,
composite,SI_DV_AS_MB_LotV,22961,1.00,1.56,1.56,1.12,1.20,0.47,
composite,SI_DV_SWD_LI_LotV,22950,1.00,1.63,1.42,1.16,1.21,0.47,
composite,FotM_Mis_SWD_MB_LotV,22941,1.00,1.47,1.39,1.12,1.20,0.46,
composite,SI_Mis_AS_LI_LotV,22938,1.00,1.62,1.62,1.20,1.22,0.47,
composite,FotM_DV_SC_VT_STM,22931,1.00,1.46,1.40,1.07,1.22,0.47,
composite,SI_DV_SWD_LI_DA,22925,1.00,1.52,1.41,1.16,1.21,0.47,
composite,SI_Mis_SWD_MB_DA,22923,1.00,1.44,1.42,1.13,1.21,0.47,
composite,SI_DV_SWD_VT_DA,22911,1.00,1.49,1.40,1.08,1.20,0.47,
composite,SI_ToF_AS_MB_STM,22910,1.00,1.50,1.54,1.13,1.21,0.47,
composite,SI_Mis_AS_LI_STM,22909,1.00,1.63,1.58,1.20,1.22,0.47,
composite,SI_DV_SC_LI_STM,22906,1.00,1.57,1.38,1.14,1.21,0.47,
composite,SI_Mis_SC_VT_LotV,22905,1.00,1.48,1.43,1.10,1.22,0.47,
composite,SWV_Mis_AS_MB_STM,22903,1.00,1.46,1.52,1.14,1.22,0.47,
composite,SI_DV_SC_MB_STM,22898,1.00,1.49,1.39,1.08,1.20,0.47,
composite,FotM_Mis_SC_VT_STM,22879,1.00,1.41,1.38,1.09,1.20,0.47,
composite,SI_ToF_SWD_MB_DA,22874,1.00,1.44,1.39,1.11,1.20,0.46,
composite,SI_ToF_SC_VT_STM,22854,1.00,1.41,1.41,1.08,1.21,0.47,
composite,SWV_Mis_SC_VT_STM,22852,1.00,1.37,1.39,1.09,1.22,0.47,
composite,SI_DV_AS_MB_DA,22825,1.00,1.45,1.55,1.11,1.21,0.47,
composite,FotM_Mis_SWD_MB_DA,22824,1.00,1.44,1.38,1.12,1.19,0.46,
composite,SI_Mis_SC_LI_DA,22823,1.00,1.52,1.39,1.16,1.20,0.46,
composite,SWV_DV_SWD_VT_STM,22821,1.00,1.43,1.39,1.07,1.22,0.47,
composite,SI_Mis_SC_MB_STM,22820,1.00,1.41,1.38,1.11,1.20,0.47,
composite,FotM_DV_SWD_VT_STM,22794,1.00,1.45,1.40,1.08,1.22,0.48,
composite,SI_DV_SWD_MB_STM,22745,1.00,1.48,1.40,1.10,1.21,0.47,
composite,SI_Mis_SC_LI_LotV,22740,1.00,1.55,1.42,1.17,1.21,0.47,
composite,FotM_Mis_SWD_VT_STM,22735,1.00,1.47,1.40,1.11,1.21,0.48,
composite,SWV_Mis_SWD_VT_STM,22734,1.00,1.41,1.41,1.11,1.21,0.48,
composite,SI_Mis_SC_LI_STM,22733,1.00,1.49,1.40,1.17,1.21,0.47,
composite,SI_Mis_AS_MB_LotV,22722,1.00,1.52,1.57,1.12,1.21,0.47,
composite,SI_DV_AS_VT_STM,22721,1.00,1.46,1.56,1.08,1.23,0.48,
composite,SI_Mis_SWD_VT_LotV,22711,1.00,1.49,1.43,1.10,1.21,0.47,
composite,SI_Mis_SC_VT_DA,22693,1.00,1.48,1.42,1.10,1.22,0.49,
composite,SI_ToF_SWD_VT_STM,22676,1.00,1.48,1.42,1.11,1.22,0.48,
composite,SI_Mis_SWD_MB_STM,22675,1.00,1.45,1.41,1.14,1.22,0.48,
composite,SI_DV_SWD_LI_STM,22658,1.00,1.59,1.38,1.16,1.20,0.47,
composite,FotM_Mis_SWD_MB_STM,22655,1.00,1.43,1.38,1.12,1.20,0.47,
composite,SI_Mis_SWD_LI_DA,22620,1.00,1.56,1.40,1.17,1.20,0.47,
composite,SI_Mis_AS_MB_DA,22604,1.00,1.47,1.53,1.13,1.20,0.47,
composite,SI_ToF_SWD_MB_STM,22557,1.00,1.47,1.39,1.12,1.21,0.47,
composite,SI_Mis_AS_VT_STM,22544,1.00,1.45,1.56,1.10,1.22,0.48,
composite,SI_Mis_SWD_VT_DA,22522,1.00,1.46,1.42,1.12,1.21,0.48,
composite,SI_Mis_SWD_LI_LotV,22508,1.00,1.59,1.44,1.19,1.22,0.48,
composite,SI_Mis_SWD_LI_STM,22457,1.00,1.59,1.39,1.19,1.20,0.48,
composite,SI_DV_AS_MB_STM,22429,1.00,1.53,1.52,1.10,1.20,0.48,
composite,SI_DV_SC_VT_STM,22419,1.00,1.43,1.39,1.05,1.20,0.48,
composite,SI_Mis_AS_MB_STM,22357,1.00,1.45,1.53,1.13,1.21,0.47,
composite,SI_DV_SWD_VT_STM,22272,1.00,1.42,1.41,1.07,1.22,0.49,
composite,SI_Mis_SC_VT_STM,22270,1.00,1.41,1.41,1.08,1.22,0.49,
composite,SI_Mis_SWD_VT_STM,22106,1.00,1.43,1.40,1.09,1.21,0.49,
composite,Base,19225,1.00,1.50,1.49,1.23,1.22,0.57,
single_target,FotM_ToF_AS_LI_DA,23752,1.00,1.65,1.57,1.19,1.22,0.45,
single_target,SWV_ToF_AS_LI_DA,23629,1.00,1.65,1.57,1.20,1.21,0.45,
single_target,FotM_ToF_AS_LI_STM,23628,1.00,1.62,1.52,1.18,1.18,0.44,
single_target,FotM_ToF_AS_LI_LotV,23578,1.00,1.64,1.57,1.19,1.21,0.45,
single_target,SWV_ToF_AS_LI_LotV,23575,1.00,1.60,1.58,1.18,1.21,0.45,
single_target,SWV_ToF_AS_LI_STM,23437,1.00,1.58,1.54,1.19,1.21,0.45,
single_target,SWV_ToF_SC_LI_LotV,23318,1.00,1.52,1.39,1.18,1.21,0.45,
single_target,FotM_ToF_SC_LI_DA,23290,1.00,1.63,1.39,1.17,1.19,0.46,
single_target,SWV_ToF_SC_LI_DA,23283,1.00,1.59,1.40,1.19,1.21,0.46,
single_target,FotM_ToF_SWD_LI_DA,23273,1.00,1.58,1.40,1.18,1.20,0.46,
single_target,FotM_ToF_SC_LI_STM,23261,1.00,1.52,1.37,1.17,1.19,0.45,
single_target,FotM_ToF_SC_LI_LotV,23257,1.00,1.57,1.41,1.18,1.21,0.46,
single_target,FotM_DV_AS_LI_LotV,23250,1.00,1.66,1.57,1.14,1.19,0.45,
single_target,SWV_ToF_AS_MB_LotV,23243,1.00,1.50,1.54,1.12,1.19,0.45,
single_target,SWV_DV_AS_LI_LotV,23227,1.00,1.69,1.59,1.19,1.22,0.47,
single_target,SWV_ToF_SWD_LI_DA,23218,1.00,1.54,1.38,1.17,1.19,0.45,
single_target,SWV_ToF_SWD_LI_LotV,23204,1.00,1.57,1.42,1.19,1.22,0.46,
single_target,FotM_ToF_AS_MB_LotV,23194,1.00,1.51,1.54,1.12,1.19,0.46,
single_target,FotM_ToF_SWD_LI_STM,23173,1.00,1.61,1.38,1.17,1.20,0.46,
single_target,FotM_DV_AS_LI_DA,23146,1.00,1.57,1.57,1.18,1.23,0.46,
single_target,FotM_Mis_AS_LI_DA,23146,1.00,1.60,1.54,1.20,1.20,0.46,
single_target,FotM_ToF_SWD_LI_LotV,23135,1.00,1.58,1.41,1.17,1.20,0.46,
single_target,SWV_ToF_SC_LI_STM,23124,1.00,1.54,1.38,1.17,1.19,0.45,
single_target,FotM_ToF_AS_MB_DA,23093,1.00,1.49,1.52,1.11,1.20,0.46,
single_target,SWV_ToF_AS_VT_LotV,23080,1.00,1.54,1.54,1.10,1.21,0.46,
single_target,SWV_DV_AS_LI_DA,23079,1.00,1.53,1.54,1.16,1.22,0.46,
single_target,SWV_ToF_SWD_LI_STM,23061,1.00,1.53,1.37,1.17,1.18,0.45,
single_target,SWV_Mis_AS_LI_DA,23019,1.00,1.60,1.55,1.19,1.20,0.46,
single_target,SWV_ToF_AS_MB_DA,22999,1.00,1.49,1.54,1.14,1.21,0.46,
single_target,FotM_Mis_AS_LI_LotV,22996,1.00,1.60,1.58,1.18,1.20,0.46,
single_target,FotM_DV_AS_LI_STM,22991,1.00,1.61,1.51,1.16,1.20,0.46,
single_target,FotM_Mis_AS_LI_STM,22973,1.00,1.69,1.53,1.17,1.20,0.46,
single_target,SWV_Mis_AS_LI_LotV,22942,1.00,1.59,1.58,1.19,1.19,0.46,
single_target,SWV_ToF_SWD_MB_LotV,22936,1.00,1.50,1.41,1.12,1.19,0.46,
single_target,SWV_ToF_SC_MB_LotV,22931,1.00,1.51,1.40,1.13,1.21,0.46,
single_target,SI_ToF_AS_LI_DA,22923,1.00,1.62,1.57,1.17,1.19,0.45,
single_target,FotM_ToF_AS_VT_LotV,22921,1.00,1.54,1.54,1.11,1.21,0.46,
single_target,SWV_DV_SC_LI_LotV,22904,1.00,1.58,1.41,1.15,1.21,0.47,
single_target,FotM_ToF_AS_MB_STM,22868,1.00,1.51,1.49,1.11,1.19,0.46,
single_target,FotM_ToF_SC_MB_LotV,22843,1.00,1.53,1.40,1.13,1.20,0.46,
single_target,FotM_ToF_SWD_MB_LotV,22838,1.00,1.48,1.40,1.13,1.20,0.45,
single_target,FotM_DV_SC_LI_LotV,22836,1.00,1.61,1.40,1.14,1.19,0.46,
single_target,SWV_Mis_AS_LI_STM,22828,1.00,1.52,1.54,1.17,1.20,0.46,
single_target,FotM_ToF_AS_VT_DA,22826,1.00,1.51,1.51,1.09,1.19,0.46,
single_target,SWV_DV_AS_LI_STM,22817,1.00,1.64,1.55,1.17,1.22,0.48,
