profile,actor,DPS,increase
fetid,Maghar_Orc,12273,0.60%,
fetid,Base,12199,0.00%,
zekvoz,Lightforged_Draenei,14605,14.07%,
zekvoz,Panda,13027,1.75%,
zekvoz,Undead,12983,1.40%,
zekvoz,Troll,12981,1.39%,
zekvoz,Draenei,12978,1.36%,
zekvoz,Goblin,12959,1.22%,
zekvoz,Night_Elf_Haste,12953,1.17%,
zekvoz,Night_Elf_Crit,12952,1.16%,
zekvoz,Gnome,12947,1.12%,
zekvoz,Worgen,12946,1.12%,
zekvoz,Blood_Elf,12946,1.11%,
zekvoz,Human,12934,1.02%,
zekvoz,Nightborne,12928,0.97%,
zekvoz,Void_Elf,12920,0.91%,
zekvoz,Tauren,12917,0.89%,
zekvoz,Dwarf,12902,0.77%,
zekvoz,Maghar_Orc,12898,0.74%,
zekvoz,Dark_Iron_Dwarf,12859,0.43%,
zekvoz,Base,12803,0.00%,
vectis,Lightforged_Draenei,12113,11.54%,
vectis,Dark_Iron_Dwarf,11112,2.32%,
vectis,Troll,11041,1.67%,
vectis,Panda,11027,1.55%,
vectis,Undead,11010,1.39%,
vectis,Maghar_Orc,11007,1.36%,
vectis,Void_Elf,11000,1.30%,
vectis,Goblin,10990,1.20%,
vectis,Gnome,10983,1.14%,
vectis,Draenei,10982,1.13%,
vectis,Night_Elf_Haste,10970,1.02%,
vectis,Blood_Elf,10967,0.99%,
vectis,Worgen,10963,0.95%,
vectis,Night_Elf_Crit,10961,0.94%,
vectis,Nightborne,10961,0.94%,
vectis,Human,10932,0.67%,
vectis,Dwarf,10926,0.61%,
vectis,Tauren,10926,0.61%,
vectis,Base,10859,0.00%,
zul,Lightforged_Draenei,18318,32.16%,
zul,Troll,14122,1.89%,
zul,Panda,14070,1.51%,
zul,Night_Elf_Haste,14063,1.46%,
zul,Gnome,14059,1.44%,
zul,Goblin,14047,1.35%,
zul,Undead,14020,1.16%,
zul,Draenei,14011,1.09%,
zul,Blood_Elf,14003,1.03%,
zul,Night_Elf_Crit,14002,1.02%,
zul,Worgen,13989,0.93%,
zul,Nightborne,13988,0.92%,
zul,Void_Elf,13972,0.80%,
zul,Dark_Iron_Dwarf,13965,0.76%,
zul,Human,13957,0.70%,
zul,Dwarf,13957,0.70%,
zul,Tauren,13950,0.65%,
zul,Maghar_Orc,13869,0.07%,
zul,Base,13860,0.00%,
ghuun,Lightforged_Draenei,12384,6.81%,
ghuun,Troll,11780,1.61%,
ghuun,Panda,11768,1.50%,
ghuun,Undead,11757,1.40%,
ghuun,Goblin,11735,1.22%,
ghuun,Gnome,11731,1.19%,
ghuun,Draenei,11728,1.16%,
ghuun,Night_Elf_Haste,11724,1.12%,
ghuun,Dark_Iron_Dwarf,11717,1.06%,
ghuun,Void_Elf,11711,1.01%,
ghuun,Blood_Elf,11709,1.00%,
ghuun,Worgen,11703,0.94%,
ghuun,Night_Elf_Crit,11703,0.94%,
ghuun,Nightborne,11698,0.90%,
ghuun,Human,11676,0.71%,
ghuun,Dwarf,11671,0.66%,
ghuun,Tauren,11668,0.64%,
ghuun,Maghar_Orc,11623,0.25%,
ghuun,Base,11594,0.00%,
